Designator,Mid X,Mid Y,Rotation,Layer
C1,120.0,-139.5,135.0,top
C10,124.5,-124.5,180.0,top
C11,107.8,-103.6,90.0,bottom
C12,97.0,-131.5,180.0,bottom
C13,93.0,-64.0,-45.0,bottom
C14,119.0,-79.5,-90.0,bottom
C15,118.0,-121.5,-90.0,bottom
C16,112.6,-88.8,0.0,bottom
C17,96.0,-140.5,45.0,bottom
C18,99.0,-143.5,135.0,bottom
C19,105.5,-135.5,0.0,bottom
C2,111.5,-74.0,90.0,top
C20,107.5,-66.0,180.0,bottom
C21,102.5,-58.0,-45.0,bottom
C22,97.0,-54.0,-45.0,bottom
C23,120.0,-111.0,0.0,bottom
C24,122.5,-84.0,-90.0,bottom
C25,123.5,-64.5,-135.0,top
C26,124.0,-135.5,135.0,top
C27,121.5,-62.5,-135.0,top
C28,122.0,-137.5,135.0,top
C29,117.5,-58.5,-135.0,top
C3,118.042983,-141.542983,135.0,top
C30,119.5,-60.5,-135.0,top
C31,124.5,-129.5,180.0,top
C32,124.5,-76.0,180.0,top
C33,124.5,-132.0,180.0,top
C34,124.5,-73.5,180.0,top
C35,124.5,-127.0,180.0,top
C36,124.5,-68.0,180.0,top
C37,124.5,-70.5,180.0,top
C38,98.5,-151.0,-45.0,top
C39,98.5,-49.0,45.0,top
C4,118.5,-74.0,90.0,top
C40,98.5,-151.0,-45.0,bottom
C41,98.5,-49.0,45.0,bottom
C42,118.0,-142.0,-45.0,bottom
C43,119.0,-141.0,-45.0,bottom
C44,117.5,-58.0,45.0,bottom
C45,118.5,-59.0,45.0,bottom
C46,113.0,-81.5,180.0,bottom
C47,112.98,-75.5,180.0,bottom
C48,118.0,-78.5,0.0,top
C49,113.0,-78.5,180.0,top
C5,112.6,-92.5,45.0,bottom
C50,112.0,-86.5,0.0,bottom
C51,106.4,-90.1,0.0,bottom
C52,109.5,-90.1,180.0,bottom
C6,117.8,-108.1,180.0,bottom
C7,113.9,-108.1,180.0,bottom
C8,107.8,-96.4,-90.0,bottom
C9,122.1,-89.2,-90.0,bottom
D1,118.2125,-118.0,180.0,top
D10,105.0,-60.5,-45.0,bottom
D11,99.5,-56.5,-45.0,bottom
D14,111.5,-70.5,0.0,top
D15,115.0,-70.5,0.0,top
D16,130.5,-106.0,90.0,bottom
D17,125.0,-106.0,90.0,bottom
D18,125.0,-94.0,90.0,bottom
D19,130.5,-94.0,90.0,bottom
D2,118.2125,-115.5,180.0,top
D20,120.0,-82.5,90.0,top
D3,118.2125,-113.0,180.0,top
D4,118.2125,-120.5,180.0,top
D6,94.0,-140.5,-135.0,bottom
D7,96.5,-145.0,-135.0,bottom
D8,106.5,-133.0,90.0,bottom
D9,104.5,-66.0,180.0,bottom
FB1,107.8,-99.9,-90.0,bottom
GD1,98.257538,-137.0,-45.0,bottom
GD2,98.0,-63.0,45.0,bottom
J11,134.675,-91.5,90.0,top
J12,105.596016,-53.075558,135.0,top
J13,108.5,-144.0,45.0,top
J15,134.65,-108.5,90.0,top
J16,123.4,-119.5,0.0,top
J17,123.4,-85.6,0.0,top
J18,123.4,-82.1,0.0,top
J19,123.4,-112.1,0.0,top
J2,108.5,-86.875,90.0,top
J3,107.5,-113.0,-90.0,top
J4,115.0,-113.5,-90.0,top
J5,101.0,-127.0,45.0,top
J6,106.505204,-78.298097,135.0,top
L1,114.0,-83.0,180.0,top
Q1,117.0,-147.192409,-45.0,bottom
Q10,103.5,-149.5,-45.0,bottom
Q11,116.970226,-53.029774,45.0,bottom
Q12,111.5,-58.5,45.0,bottom
Q2,111.5,-141.5,-45.0,bottom
Q3,109.052099,-45.042804,45.0,bottom
Q4,103.5,-50.5,45.0,bottom
Q5,113.0,-151.192409,-45.0,bottom
Q6,107.5,-145.5,-45.0,bottom
Q7,113.0,-49.0,45.0,bottom
